step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode,global_step
90.0,23,0,10,42,65,0,89.0,3.869565217391304,5.883908885099713,10,89.0,0.3228834397784367,10,89.0,12,3102.0
95.0,22,0,8,45,67,0,52.0,2.363636363636364,5.467363278850893,8,107.0,0.3530479269533891,8,107.0,12,3107.0
100.0,23,0,2,46,69,0,3.0,0.1304347826086956,7.111148016264444,2,68.0,0.3753865637289048,2,68.0,12,3112.0
105.0,27,0,3,46,73,0,16.0,0.5925925925925926,9.447986886372538,3,27.0,0.5301549987002054,3,27.0,12,3117.0
110.0,25,0,3,50,75,0,31.0,1.24,10.600370865078926,3,31.0,0.6426108598877724,3,31.0,12,3122.0
115.0,23,0,4,54,77,0,47.0,2.0434782608695654,9.117110626871108,4,47.0,0.3943262582818034,4,47.0,12,3127.0
120.0,19,0,6,60,79,0,73.0,3.842105263157895,7.656230391883048,6,73.0,0.3435956892514912,6,73.0,12,3132.0
125.0,20,0,2,65,85,0,6.0,0.3,8.224269249469295,2,50.0,0.5565184833779624,2,50.0,12,3137.0
130.0,21,0,2,68,89,0,8.0,0.3809523809523809,10.248561136092627,2,12.0,0.7221258470635054,2,12.0,12,3142.0
135.0,25,0,5,68,93,0,24.0,0.96,9.161685687796384,5,24.0,0.5316017534439405,5,24.0,12,3147.0
140.0,23,0,3,72,95,0,6.0,0.2608695652173913,7.094173236200312,3,28.0,0.3816233486137143,3,28.0,12,3152.0
145.0,23,0,0,76,99,0,0.0,0.0,8.883864961393371,0,9.0,0.5418720989556542,0,9.0,12,3157.0
150.0,24,0,1,78,102,0,4.0,0.1666666666666666,10.30973287547833,1,5.0,0.6167142525587663,1,5.0,12,3162.0
155.0,25,0,1,83,108,0,2.0,0.08,8.60561953657493,1,3.0,0.5444680432165905,1,3.0,12,3167.0
160.0,27,0,6,86,113,0,27.0,1.0,7.146847521420081,6,28.0,0.4454828253079007,6,28.0,12,3172.0
165.0,28,0,12,90,118,0,78.0,2.7857142857142856,4.965055595275111,12,79.0,0.3090976856991076,12,79.0,12,3177.0
170.0,32,0,14,91,123,0,74.0,2.3125,3.576660367041547,14,123.0,0.2456744458149808,14,123.0,12,3182.0
175.0,35,0,9,91,126,0,44.0,1.2571428571428571,5.095138690401,9,132.0,0.258609920891501,9,132.0,12,3187.0
180.0,38,0,6,92,130,0,33.0,0.868421052631579,6.461185478464183,6,112.0,0.3192372060269704,6,112.0,12,3192.0
185.0,38,0,2,95,133,0,4.0,0.1052631578947368,5.757505581474647,2,103.0,0.3109758142553687,2,103.0,12,3197.0
190.0,37,0,8,99,136,0,32.0,0.8648648648648649,6.044072239095279,8,121.0,0.2974726133705293,8,121.0,12,3202.0
195.0,37,0,13,103,140,0,86.0,2.324324324324324,5.24221293385991,13,176.0,0.2210544891735601,13,176.0,12,3207.0
200.0,33,0,21,108,141,0,174.0,5.2727272727272725,2.9522968719181923,21,264.0,0.065443538152722,21,264.0,12,3212.0
205.0,32,0,26,111,143,0,295.0,9.21875,2.435955016612345,26,385.0,0.0714173043294975,26,385.0,12,3217.0
210.0,33,0,26,113,146,0,425.0,12.87878787878788,2.0877841663725265,26,515.0,0.1033388392910775,26,515.0,12,3222.0
215.0,36,0,24,114,150,0,384.0,10.666666666666666,1.880338080670362,24,567.0,0.0990497572916227,24,567.0,12,3227.0
220.0,40,0,19,115,155,0,263.0,6.575,4.470785535919181,19,529.0,0.2209532082937377,19,529.0,12,3232.0
225.0,45,0,12,115,160,0,126.0,2.8,6.733474736044819,12,414.0,0.3278516408703388,12,414.0,12,3237.0
230.0,44,0,7,119,163,0,38.0,0.8636363636363636,7.222475692318213,7,333.0,0.3901498809712728,7,333.0,12,3242.0
235.0,39,4,6,125,164,0,39.0,1.0,7.498901556551391,6,244.0,0.4333335752673591,6,244.0,12,3247.0
240.0,41,2,4,128,169,0,13.0,0.3170731707317073,7.146631133371152,4,204.0,0.42798988318683,4,204.0,12,3252.0
245.0,41,0,7,134,175,0,21.0,0.5121951219512195,6.856520632732363,7,197.0,0.376359877646351,7,197.0,12,3257.0
250.0,43,0,11,138,181,0,67.0,1.558139534883721,6.894273241519705,11,229.0,0.3357940822951194,11,229.0,12,3262.0
5.0,2,0,0,0,2,0,0.0,0.0,12.425584107092584,0,0.0,0.9532467921574876,0,0.0,13,3268.0
10.0,4,0,0,0,4,0,0.0,0.0,13.709060171102305,0,0.0,0.9501472691986644,0,0.0,13,3273.0
15.0,7,0,0,0,7,0,0.0,0.0,11.354361546877804,0,0.0,0.7960994376376321,0,0.0,13,3278.0
20.0,10,0,1,0,10,0,1.0,0.1,9.358664852877402,1,1.0,0.7232796358127557,1,1.0,13,3283.0
25.0,15,0,1,0,15,0,6.0,0.4,11.30642340009033,1,6.0,0.7815827387473899,1,6.0,13,3288.0
30.0,17,0,2,0,17,0,14.0,0.8235294117647058,11.28631941269494,2,14.0,0.7209283411597941,2,14.0,13,3293.0
35.0,17,0,1,2,19,0,1.0,0.0588235294117647,8.024154721481596,1,1.0,0.446079026865643,1,1.0,13,3298.0
40.0,15,0,5,7,22,0,19.0,1.2666666666666666,8.118637043625595,5,19.0,0.4714253851007823,5,19.0,13,3303.0
45.0,18,0,6,8,26,0,47.0,2.611111111111111,8.615458746147302,6,47.0,0.5208451368535393,6,47.0,13,3308.0
50.0,20,0,8,11,31,0,81.0,4.05,7.065760576488552,8,81.0,0.4470123084696033,8,81.0,13,3313.0
